id,name,quantity,landscape,set,setType,frontImageUrl,backImageUrl,gameImageUrl
Hubworld: Aidalon,Hubworld: Aidalon,,,,,,,https://cf.geekdo-images.com/GSF1XABi4QyCvTXPZDgzjw__imagepage/img/x5b3FWRWXPLifWXoHcDaVkp73JI=/fit-in/900x600/filters:no_upscale():strip_icc()/pic8454145.jpg
A12DFAFA-84B5-4965-A8A7-35E2A3000001,Abnus Orzo,1,no,Demo Seekers,Seekers,https://ik.imagekit.io/smtilson/Games/HubworldAidalon/PreviewDeck/abnus_orzo.webp,https://ik.imagekit.io/smtilson/Games/HubworldAidalon/HubworldAidalonCardBack.jpg?updatedAt=1743241452121,
A12DFAFA-84B5-4965-A8A7-35E2A3000002,Auntie Ruth,1,no,Preview Deck,Premade Decks,https://ik.imagekit.io/smtilson/Games/HubworldAidalon/PreviewDeck/auntie_ruth.webp,https://ik.imagekit.io/smtilson/Games/HubworldAidalon/HubworldAidalonCardBack.jpg?updatedAt=1743241452121,
A12DFAFA-84B5-4965-A8A7-35E2A3000003,Barbican Gate,2,no,Preview Deck,Premade Decks,https://ik.imagekit.io/smtilson/Games/HubworldAidalon/PreviewDeck/barbican_gate.webp,https://ik.imagekit.io/smtilson/Games/HubworldAidalon/HubworldAidalonCardBack.jpg?updatedAt=1743241452121,
A12DFAFA-84B5-4965-A8A7-35E2A3000004,Calling In Favors,2,no,Preview Deck,Premade Decks,https://ik.imagekit.io/smtilson/Games/HubworldAidalon/PreviewDeck/calling_in_favors.webp,https://ik.imagekit.io/smtilson/Games/HubworldAidalon/HubworldAidalonCardBack.jpg?updatedAt=1743241452121,
A12DFAFA-84B5-4965-A8A7-35E2A3000005,Canal Network,2,no,Preview Deck,Premade Decks,https://ik.imagekit.io/smtilson/Games/HubworldAidalon/PreviewDeck/canal_network.webp,https://ik.imagekit.io/smtilson/Games/HubworldAidalon/HubworldAidalonCardBack.jpg?updatedAt=1743241452121,
A12DFAFA-84B5-4965-A8A7-35E2A3000006,Capricious Informant,2,no,Preview Deck,Premade Decks,https://ik.imagekit.io/smtilson/Games/HubworldAidalon/PreviewDeck/capricious_informant.webp,https://ik.imagekit.io/smtilson/Games/HubworldAidalon/HubworldAidalonCardBack.jpg?updatedAt=1743241452121,
A12DFAFA-84B5-4965-A8A7-35E2A3000007,Chairman Bo Pax,1,no,Demo Seekers,Seekers,https://ik.imagekit.io/smtilson/Games/HubworldAidalon/PreviewDeck/chairman_bo_pax.webp,https://ik.imagekit.io/smtilson/Games/HubworldAidalon/HubworldAidalonCardBack.jpg?updatedAt=1743241452121,
A12DFAFA-84B5-4965-A8A7-35E2A3000008,Disagreeable Inspector,2,no,Preview Deck,Premade Decks,https://ik.imagekit.io/smtilson/Games/HubworldAidalon/PreviewDeck/disagreeable_inspector.webp,https://ik.imagekit.io/smtilson/Games/HubworldAidalon/HubworldAidalonCardBack.jpg?updatedAt=1743241452121,
A12DFAFA-84B5-4965-A8A7-35E2A3000009,Doctor Twilight,1,no,Preview Deck,Premade Decks,https://ik.imagekit.io/smtilson/Games/HubworldAidalon/PreviewDeck/doctor_twilight.webp,https://ik.imagekit.io/smtilson/Games/HubworldAidalon/HubworldAidalonCardBack.jpg?updatedAt=1743241452121,
A12DFAFA-84B5-4965-A8A7-35E2A3000010,Eye Enforcers,2,no,Preview Deck,Premade Decks,https://ik.imagekit.io/smtilson/Games/HubworldAidalon/PreviewDeck/eye_enforcers.webp,https://ik.imagekit.io/smtilson/Games/HubworldAidalon/HubworldAidalonCardBack.jpg?updatedAt=1743241452121,
A12DFAFA-84B5-4965-A8A7-35E2A3000011,Fun Run,2,no,Preview Deck,Premade Decks,https://ik.imagekit.io/smtilson/Games/HubworldAidalon/PreviewDeck/fun_run.webp,https://ik.imagekit.io/smtilson/Games/HubworldAidalon/HubworldAidalonCardBack.jpg?updatedAt=1743241452121,
A12DFAFA-84B5-4965-A8A7-35E2A3000012,Gargala Larga,1,no,Preview Deck,Premade Decks,https://ik.imagekit.io/smtilson/Games/HubworldAidalon/PreviewDeck/gargala_larga.webp,https://ik.imagekit.io/smtilson/Games/HubworldAidalon/HubworldAidalonCardBack.jpg?updatedAt=1743241452121,
A12DFAFA-84B5-4965-A8A7-35E2A3000013,Goldie Xin,1,no,Demo Seekers,Seekers,https://ik.imagekit.io/smtilson/Games/HubworldAidalon/PreviewDeck/goldie_xin.webp,https://ik.imagekit.io/smtilson/Games/HubworldAidalon/HubworldAidalonCardBack.jpg?updatedAt=1743241452121,
A12DFAFA-84B5-4965-A8A7-35E2A3000014,Infiltrate,2,no,Preview Deck,Premade Decks,https://ik.imagekit.io/smtilson/Games/HubworldAidalon/PreviewDeck/infiltrate.webp,https://ik.imagekit.io/smtilson/Games/HubworldAidalon/HubworldAidalonCardBack.jpg?updatedAt=1743241452121,
A12DFAFA-84B5-4965-A8A7-35E2A3000015,Jayko & Ace,1,no,Demo Seekers,Seekers,https://ik.imagekit.io/smtilson/Games/HubworldAidalon/PreviewDeck/jayko_&_ace.webp,https://ik.imagekit.io/smtilson/Games/HubworldAidalon/HubworldAidalonCardBack.jpg?updatedAt=1743241452121,
A12DFAFA-84B5-4965-A8A7-35E2A3000016,Kryzar the Rat,1,no,Preview Deck,Premade Decks,https://ik.imagekit.io/smtilson/Games/HubworldAidalon/PreviewDeck/kryzar_the_rat.webp,https://ik.imagekit.io/smtilson/Games/HubworldAidalon/HubworldAidalonCardBack.jpg?updatedAt=1743241452121,
A12DFAFA-84B5-4965-A8A7-35E2A3000017,Likely a Trap,2,no,Preview Deck,Premade Decks,https://ik.imagekit.io/smtilson/Games/HubworldAidalon/PreviewDeck/likely_a_trap.webp,https://ik.imagekit.io/smtilson/Games/HubworldAidalon/HubworldAidalonCardBack.jpg?updatedAt=1743241452121,
A12DFAFA-84B5-4965-A8A7-35E2A3000018,Rory & Bug,1,no,Preview Deck,Premade Decks,https://ik.imagekit.io/smtilson/Games/HubworldAidalon/PreviewDeck/rory_&_bug.webp,https://ik.imagekit.io/smtilson/Games/HubworldAidalon/HubworldAidalonCardBack.jpg?updatedAt=1743241452121,
A12DFAFA-84B5-4965-A8A7-35E2A3000019,Sergeant Cole,1,no,Preview Deck,Premade Decks,https://ik.imagekit.io/smtilson/Games/HubworldAidalon/PreviewDeck/sergeant_cole.webp,https://ik.imagekit.io/smtilson/Games/HubworldAidalon/HubworldAidalonCardBack.jpg?updatedAt=1743241452121,
A12DFAFA-84B5-4965-A8A7-35E2A3000020,Shardwinner,2,no,Preview Deck,Premade Decks,https://ik.imagekit.io/smtilson/Games/HubworldAidalon/PreviewDeck/shardwinner.webp,https://ik.imagekit.io/smtilson/Games/HubworldAidalon/HubworldAidalonCardBack.jpg?updatedAt=1743241452121,
A12DFAFA-84B5-4965-A8A7-35E2A3000021,Smooth Handoff,2,no,Preview Deck,Premade Decks,https://ik.imagekit.io/smtilson/Games/HubworldAidalon/PreviewDeck/smooth_handoff.webp,https://ik.imagekit.io/smtilson/Games/HubworldAidalon/HubworldAidalonCardBack.jpg?updatedAt=1743241452121,
A12DFAFA-84B5-4965-A8A7-35E2A3000022,Tele-mail Cluster,2,no,Preview Deck,Premade Decks,https://ik.imagekit.io/smtilson/Games/HubworldAidalon/PreviewDeck/tele-mail_cluster.webp,https://ik.imagekit.io/smtilson/Games/HubworldAidalon/HubworldAidalonCardBack.jpg?updatedAt=1743241452121,
A12DFAFA-84B5-4965-A8A7-35E2A3000023,The Dragon’s Hoard,2,no,Preview Deck,Premade Decks,https://ik.imagekit.io/smtilson/Games/HubworldAidalon/PreviewDeck/the_dragon__s_hoard.webp,https://ik.imagekit.io/smtilson/Games/HubworldAidalon/HubworldAidalonCardBack.jpg?updatedAt=1743241452121,
A12DFAFA-84B5-4965-A8A7-35E2A3000024,Transit Station,2,no,Preview Deck,Premade Decks,https://ik.imagekit.io/smtilson/Games/HubworldAidalon/PreviewDeck/transit_station.webp,https://ik.imagekit.io/smtilson/Games/HubworldAidalon/HubworldAidalonCardBack.jpg?updatedAt=1743241452121,
A12DFAFA-84B5-4965-A8A7-35E2A3000025,Waterway Ferry,2,no,Preview Deck,Premade Decks,https://ik.imagekit.io/smtilson/Games/HubworldAidalon/PreviewDeck/waterway_ferry.webp,https://ik.imagekit.io/smtilson/Games/HubworldAidalon/HubworldAidalonCardBack.jpg?updatedAt=1743241452121,
